topic,date,count
aspirin-questions,2014-09,4
aspirin-questions,2014-12,2
asthma-attack-questions,2010-06,2
asthma-attack-questions,2013-03,3
asthma-attack-questions,2013-08,2
asthma-attack-questions,2013-09,3
asthma-attack-questions,2014-12,2
asthma-questions,2010-06,11
asthma-questions,2010-08,7
asthma-questions,2010-10,4
asthma-questions,2010-11,2
asthma-questions,2012-10,10
asthma-questions,2012-11,11
asthma-questions,2012-12,4
asthma-questions,2013-01,4
asthma-questions,2013-05,2
asthma-questions,2013-07,4
asthma-questions,2013-08,6
asthma-questions,2013-09,13
asthma-questions,2013-10,2
asthma-questions,2013-11,8
asthma-questions,2013-12,10
asthma-questions,2014-01,4
asthma-questions,2014-02,6
asthma-questions,2014-03,9
asthma-questions,2014-04,7
asthma-questions,2014-05,2
asthma-questions,2014-06,4
asthma-questions,2014-07,4
asthma-questions,2014-09,2
asthma-questions,2014-11,6
astigmatism-questions,2012-10,2
astigmatism-questions,2014-05,2
astigmatism-questions,2014-07,2
ataxia-questions,2013-10,2
atherosclerosis-questions,2012-10,2
athletes-foot-questions,2012-10,2
athletes-foot-questions,2013-06,2
athletes-foot-questions,2013-08,2
athletes-foot-questions,2013-12,2
atopic-dermatitis-questions,2010-08,2
atopic-dermatitis-questions,2012-12,7
atopic-dermatitis-questions,2013-01,4
atopic-dermatitis-questions,2013-04,4
atopic-dermatitis-questions,2013-08,4
atopic-dermatitis-questions,2014-02,2
atopic-dermatitis-questions,2014-05,2
atrial-fibrillation-questions,2012-11,5
atrial-fibrillation-questions,2013-10,2
atrial-fibrillation-questions,2014-04,1
atrial-fibrillation-questions,2014-05,2
atrial-flutter-questions,2013-06,6
atrial-flutter-questions,2014-03,2
atrophic-vaginitis-questions,2014-02,2
atrophy-questions,2012-11,3
atrophy-questions,2013-11,2
atrophy-questions,2014-07,2
atrophy-questions,2014-08,2
attention-deficit-hyperactivity-disorder-questions,2010-07,2
attention-deficit-hyperactivity-disorder-questions,2010-08,5
attention-deficit-hyperactivity-disorder-questions,2012-12,11
attention-deficit-hyperactivity-disorder-questions,2013-02,8
attention-deficit-hyperactivity-disorder-questions,2013-03,2
attention-deficit-hyperactivity-disorder-questions,2013-04,2
attention-deficit-hyperactivity-disorder-questions,2013-06,2
attention-deficit-hyperactivity-disorder-questions,2013-07,6
attention-deficit-hyperactivity-disorder-questions,2013-08,2
attention-deficit-hyperactivity-disorder-questions,2013-09,4
attention-deficit-hyperactivity-disorder-questions,2014-01,2
attention-deficit-hyperactivity-disorder-questions,2014-02,2
attention-deficit-hyperactivity-disorder-questions,2014-05,3
attention-deficit-hyperactivity-disorder-questions,2014-07,2
attention-deficit-hyperactivity-disorder-questions,2014-08,4
attention-deficit-hyperactivity-disorder-questions,2014-09,2
auscultation-questions,2013-11,2
autism-questions,2010-05,3
autism-questions,2012-10,6
autism-questions,2012-11,2
autism-questions,2013-03,2
autism-questions,2013-06,2
autism-questions,2013-07,2
autism-questions,2013-09,4
autism-questions,2014-01,2
autism-questions,2014-04,2
autism-questions,2014-05,2
autism-questions,2014-08,2
autoimmune-disease-questions,2013-08,2
autoimmune-disease-questions,2013-10,2
autoimmune-disease-questions,2014-01,2
autoimmune-disease-questions,2014-04,4
autoimmune-disease-questions,2014-11,2
autoimmune-disorder-questions,2012-10,2
autoimmune-disorder-questions,2012-11,2
autoimmune-hepatitis-questions,2010-07,4
autoimmune-hepatitis-questions,2014-03,4
b12-questions,2010-08,2
b12-questions,2012-10,3
b12-questions,2012-11,2
b12-questions,2012-12,2
b12-questions,2013-01,2
b12-questions,2013-02,2
b12-questions,2013-05,2
b12-questions,2013-07,2
b12-questions,2013-10,4
b12-questions,2014-02,2
b12-questions,2014-03,2
b12-questions,2014-06,4
b12-questions,2014-09,2
b12-questions,2014-10,2
baby-bottle-tooth-decay-questions,2010-08,2
baby-questions,2010-06,6
baby-questions,2010-07,10
baby-questions,2010-08,15
baby-questions,2010-09,41
baby-questions,2012-10,48
baby-questions,2012-11,51
baby-questions,2012-12,59
baby-questions,2013-01,26
baby-questions,2013-02,44
baby-questions,2013-03,40
baby-questions,2013-04,11
baby-questions,2013-05,30
baby-questions,2013-06,22
baby-questions,2013-07,45
baby-questions,2013-08,33
baby-questions,2013-09,32
baby-questions,2013-10,33
baby-questions,2013-11,26
baby-questions,2013-12,44
baby-questions,2014-01,32
baby-questions,2014-02,49
baby-questions,2014-03,39
baby-questions,2014-04,25
baby-questions,2014-05,19
baby-questions,2014-06,22
baby-questions,2014-07,20
baby-questions,2014-08,26
baby-questions,2014-09,14
baby-questions,2014-10,32
baby-questions,2014-11,15
baby-questions,2014-12,2
bacitracin-questions,2014-11,2
back-pain-questions,2010-06,4
back-pain-questions,2010-08,6
back-pain-questions,2012-10,35
back-pain-questions,2012-11,14
